Title,Description,Manual,Price,test_str,bart_classification,mDeBERTa_classification,DeBERTa-v3-base-mnli-fever-anli,deberta-v3-base-zeroshot-v1.1-all-33,mDeBERTa-v3-base-mnli-xnli
ANUM ZAARA,"Grilled Chicken, Mixed Greens, Pink Grapefruit, Beets, Goat Cheese, Walnuts, Maple And Apple Cider Dressing",Not Vegetarian,15,"ANUM ZAARA : Grilled Chicken, Mixed Greens, Pink Grapefruit, Beets, Goat Cheese, Walnuts, Maple And Apple Cider Dressing",not vegetarian,not vegetarian,not vegetarian,not vegetarian,not vegetarian
JALPARI,"Basil Shrimp, Bean And Radish Sprouts, Pea Shoots, Micro Greens, Honey And Ginger Dressing",Not Vegetarian,18,"JALPARI : Basil Shrimp, Bean And Radish Sprouts, Pea Shoots, Micro Greens, Honey And Ginger Dressing",not vegetarian,not vegetarian,not vegetarian,vegetarian,not vegetarian
SMOKEY JHINGA,"Tiger Prawns Marinated In Ginger, Garlic, Vinegar, Lemon Juice, Olive Oil, Black Pepper",Not Vegetarian,43,"SMOKEY JHINGA : Tiger Prawns Marinated In Ginger, Garlic, Vinegar, Lemon Juice, Olive Oil, Black Pepper",not vegetarian,not vegetarian,not vegetarian,not vegetarian,not vegetarian
JHINGA E AATISH,"Prawns Marinated In Yogurt, Roasted Chilies, Cilantro",Not Vegetarian,38,"JHINGA E AATISH : Prawns Marinated In Yogurt, Roasted Chilies, Cilantro",not vegetarian,not vegetarian,not vegetarian,not vegetarian,not vegetarian
HASIRU SAMUDRA,"Chilean Sea Bass Flavored With Green Chili, Mint, Coriander, Tomato Kokum Sauce",Not Vegetarian,46,"HASIRU SAMUDRA : Chilean Sea Bass Flavored With Green Chili, Mint, Coriander, Tomato Kokum Sauce",not vegetarian,not vegetarian,not vegetarian,not vegetarian,not vegetarian
MALAI HALIBUT,~ GRAND PRIZE WINNER OF THE 2004 USA FISH DISH AWARDS ~,Not Vegetarian,41,MALAI HALIBUT : ~ GRAND PRIZE WINNER OF THE 2004 USA FISH DISH AWARDS ~,not vegetarian,not vegetarian,not vegetarian,not vegetarian,not vegetarian
CHICKEN TIKKA NAAN,Light Bread Stuffed With Finely Chopped Tandoori Chicken,Not Vegetarian,10,CHICKEN TIKKA NAAN : Light Bread Stuffed With Finely Chopped Tandoori Chicken,not vegetarian,not vegetarian,not vegetarian,not vegetarian,not vegetarian
endive salad*,no description,Vegetarian,21,endive salad* : no description,not vegetarian,not vegetarian,vegetarian,vegetarian,not vegetarian
"dragonfruit, cara cara orange, pistachios, pecorino",add salt & pepper chicken,Not Vegetarian,7,"dragonfruit, cara cara orange, pistachios, pecorino : add salt & pepper chicken",not vegetarian,not vegetarian,not vegetarian,not vegetarian,not vegetarian
karaoke fries,"h.k. curry, fish balls, pickled onions, cheddar cheese curds",Not Vegetarian,15,"karaoke fries : h.k. curry, fish balls, pickled onions, cheddar cheese curds",not vegetarian,not vegetarian,not vegetarian,not vegetarian,not vegetarian
taro shrimp fritters,cilantro aioli,Not Vegetarian,12,taro shrimp fritters : cilantro aioli,not vegetarian,not vegetarian,not vegetarian,not vegetarian,not vegetarian
bolo bao milk toast,w/ milk tea butter,Vegetarian,15,bolo bao milk toast : w/ milk tea butter,not vegetarian,not vegetarian,not vegetarian,not vegetarian,not vegetarian
hong kong french toast,"salted egg yolk lava, condensed milk, cultured butter",Vegetarian,15,"hong kong french toast : salted egg yolk lava, condensed milk, cultured butter",not vegetarian,not vegetarian,not vegetarian,not vegetarian,not vegetarian
salt & pepper chicken sandwich w. french fries,"pickled mustard greens aioli, arugula pork belly cha siu & egg sandwich w. french fries ",Not Vegetarian,21,"salt & pepper chicken sandwich w. french fries : pickled mustard greens aioli, arugula pork belly cha siu & egg sandwich w. french fries ",not vegetarian,not vegetarian,not vegetarian,not vegetarian,not vegetarian
"hoisin garlic aioli, arugula sunny side eggs over radish cake hash*","shishito peppers, bacon, arugula",Not Vegetarian,16,"hoisin garlic aioli, arugula sunny side eggs over radish cake hash* : shishito peppers, bacon, arugula",not vegetarian,vegetarian,not vegetarian,vegetarian,vegetarian
potluck chow mein*,"hanger steak, garlic chives, pickled onions",Not Vegetarian,24,"potluck chow mein* : hanger steak, garlic chives, pickled onions",not vegetarian,not vegetarian,not vegetarian,not vegetarian,not vegetarian
endive salad*,"dragonfruit, cara cara orange, pistachios, pecorino",Vegetarian,21,"endive salad* : dragonfruit, cara cara orange, pistachios, pecorino",not vegetarian,not vegetarian,vegetarian,vegetarian,not vegetarian
pork belly cha siu & egg sandwich w. french fries,"hoisin garlic aioli, arugula",Not Vegetarian,21,"pork belly cha siu & egg sandwich w. french fries : hoisin garlic aioli, arugula",not vegetarian,not vegetarian,not vegetarian,not vegetarian,not vegetarian
sunny side eggs over radish cake hash*,"shishito peppers, bacon, arugula",Not Vegetarian,16,"sunny side eggs over radish cake hash* : shishito peppers, bacon, arugula",not vegetarian,vegetarian,not vegetarian,vegetarian,vegetarian
Chana-Chenna Tikki (v),"green garbanzo, housemade cheese, tomato chutney (2 pc)",Vegetarian,17,"Chana-Chenna Tikki (v) : green garbanzo, housemade cheese, tomato chutney (2 pc)",not vegetarian,vegetarian,not vegetarian,vegetarian,vegetarian
"Paneer Tikka (v, gf)","house made paneer, ajwain, yogurt (2 pc)",Vegetarian,21,"Paneer Tikka (v, gf) : house made paneer, ajwain, yogurt (2 pc)",not vegetarian,not vegetarian,vegetarian,vegetarian,not vegetarian
Bohri Chicken Cutlet,"chicken mince, green chili, Amul cheese (2 pc)",Not Vegetarian,18,"Bohri Chicken Cutlet : chicken mince, green chili, Amul cheese (2 pc)",not vegetarian,not vegetarian,not vegetarian,not vegetarian,not vegetarian
Jama Masjid Seekh,"smoked lamb belly, ginger, cilantro (1 pc)",Not Vegetarian,,"Jama Masjid Seekh : smoked lamb belly, ginger, cilantro (1 pc)",not vegetarian,not vegetarian,not vegetarian,not vegetarian,not vegetarian
"Lasooni Palak (v, gf)","spinach, garlic, cumin seeds",Vegetarian,17,"Lasooni Palak (v, gf) : spinach, garlic, cumin seeds",not vegetarian,vegetarian,vegetarian,vegetarian,vegetarian
"Baingan Bharta (v, gf)","grilled eggplant, onion, green chili",Vegetarian,17,"Baingan Bharta (v, gf) : grilled eggplant, onion, green chili",not vegetarian,vegetarian,vegetarian,vegetarian,vegetarian
Kashmiri Gosht Chaamp (gf),"lamb loin, garam masala, ghee",Not Vegetarian,22,"Kashmiri Gosht Chaamp (gf) : lamb loin, garam masala, ghee",not vegetarian,not vegetarian,not vegetarian,not vegetarian,not vegetarian
Beef Pepper Fry (gf),"Wagyu flank, curry leaves, Tellicherry pepper",Not Vegetarian,,"Beef Pepper Fry (gf) : Wagyu flank, curry leaves, Tellicherry pepper",not vegetarian,not vegetarian,not vegetarian,not vegetarian,not vegetarian
Macchi Hara Masala (gf),"rainbow trout, cilantro, mint",Not Vegetarian,,"Macchi Hara Masala (gf) : rainbow trout, cilantro, mint",not vegetarian,not vegetarian,not vegetarian,vegetarian,not vegetarian
Butter Pepper Garlic Crab (gf),"crab, Amul butter, garlic, crushed black pepper",Not Vegetarian,,"Butter Pepper Garlic Crab (gf) : crab, Amul butter, garlic, crushed black pepper",not vegetarian,not vegetarian,not vegetarian,vegetarian,not vegetarian
"Paneer Methi (v, gf, n)","house made paneer, fenugreek, tomato",Vegetarian,,"Paneer Methi (v, gf, n) : house made paneer, fenugreek, tomato",not vegetarian,vegetarian,vegetarian,vegetarian,vegetarian
"Dahi Waali Bhindi (v, gf)","okra, yogurt, Rajasthani red chili",Vegetarian,,"Dahi Waali Bhindi (v, gf) : okra, yogurt, Rajasthani red chili",not vegetarian,not vegetarian,vegetarian,vegetarian,not vegetarian
Malai Murgh,"chicken, cream, Amul butter",Not Vegetarian,,"Malai Murgh : chicken, cream, Amul butter",not vegetarian,not vegetarian,not vegetarian,not vegetarian,not vegetarian
Rara Gosht (gf),"goat meat & mince, yogurt, onions, garam masala",Not Vegetarian,,"Rara Gosht (gf) : goat meat & mince, yogurt, onions, garam masala",not vegetarian,not vegetarian,not vegetarian,not vegetarian,not vegetarian
Kolambi ani Kekda Bhaath (gf),"tiger prawn, crab, aged basmati rice",Not Vegetarian,,"Kolambi ani Kekda Bhaath (gf) : tiger prawn, crab, aged basmati rice",not vegetarian,not vegetarian,not vegetarian,vegetarian,not vegetarian
Nalli Biryani,"slow braised lamb shank, aged basmati rice",Not Vegetarian,,"Nalli Biryani : slow braised lamb shank, aged basmati rice",not vegetarian,not vegetarian,not vegetarian,not vegetarian,not vegetarian
Gurda Kapoora,"goat kidney & testicles, tomato, pao",Not Vegetarian,23,"Gurda Kapoora : goat kidney & testicles, tomato, pao",not vegetarian,not vegetarian,not vegetarian,vegetarian,not vegetarian
Champaran Meat,"mutton, whole garlic, red chili",Not Vegetarian,49,"Champaran Meat : mutton, whole garlic, red chili",not vegetarian,not vegetarian,not vegetarian,not vegetarian,not vegetarian
Lamb Musallam Feast (gf),"lamb shoulder, saffron, cashews, aged basmati rice",Not Vegetarian,225,"Lamb Musallam Feast (gf) : lamb shoulder, saffron, cashews, aged basmati rice",not vegetarian,vegetarian,not vegetarian,not vegetarian,vegetarian
"Dhaba Dal (v, gf)",no description,Vegetarian,13,"Dhaba Dal (v, gf) : no description",not vegetarian,not vegetarian,not vegetarian,vegetarian,not vegetarian
green chickpea hummus,"mint, whole wheat pita & crudité",Vegetarian,23,"green chickpea hummus : mint, whole wheat pita & crudité",not vegetarian,not vegetarian,vegetarian,vegetarian,not vegetarian
california dates,"whipped coconut yogurt and tahini, crunchy sea salt, lemon, pistachio, mint, sicilian olive oil",Vegetarian,17,"california dates : whipped coconut yogurt and tahini, crunchy sea salt, lemon, pistachio, mint, sicilian olive oil",not vegetarian,not vegetarian,not vegetarian,vegetarian,not vegetarian
dosa,"fermented turmeric sambal, coriander mint chutney, mango chutney",Vegetarian,25,"dosa : fermented turmeric sambal, coriander mint chutney, mango chutney",not vegetarian,not vegetarian,not vegetarian,not vegetarian,not vegetarian
cornmeal crusted oyster mushrooms,"cashew lime leaf dip, passion fruit, grenada pepper sauce",Vegetarian,24,"cornmeal crusted oyster mushrooms : cashew lime leaf dip, passion fruit, grenada pepper sauce",not vegetarian,not vegetarian,not vegetarian,vegetarian,not vegetarian
honeynut squash dip,"tahini, warming spices, sourdough focaccia",Vegetarian,22,"honeynut squash dip : tahini, warming spices, sourdough focaccia",not vegetarian,not vegetarian,not vegetarian,vegetarian,not vegetarian
roasted murasaki yam,"black sesame, white sesame, ginger, scallion, lime",Vegetarian,24,"roasted murasaki yam : black sesame, white sesame, ginger, scallion, lime",not vegetarian,not vegetarian,not vegetarian,vegetarian,not vegetarian
wood roasted freekeh,"sunchoke, saffron labneh, green olive, orange",Vegetarian,26,"wood roasted freekeh : sunchoke, saffron labneh, green olive, orange",not vegetarian,vegetarian,not vegetarian,vegetarian,vegetarian
char grilled rainbow carrots,"seed & nut butter, fermented sambal, finger lime, thai basil",Vegetarian,27,"char grilled rainbow carrots : seed & nut butter, fermented sambal, finger lime, thai basil",not vegetarian,not vegetarian,not vegetarian,vegetarian,not vegetarian
whole roasted cauliflower,"turmeric tahini, za’atar, pomegranate, date molasses, red zhug, fresh herbs, pistachio",Vegetarian,34,"whole roasted cauliflower : turmeric tahini, za’atar, pomegranate, date molasses, red zhug, fresh herbs, pistachio",not vegetarian,not vegetarian,vegetarian,vegetarian,not vegetarian
market beets,"avocado purée, flavors of tartare",Vegetarian,24,"market beets : avocado purée, flavors of tartare",not vegetarian,not vegetarian,not vegetarian,not vegetarian,not vegetarian
avocado lettuce cups,"toasted cumin, serrano and lime, pepitas",Vegetarian,22,"avocado lettuce cups : toasted cumin, serrano and lime, pepitas",not vegetarian,not vegetarian,not vegetarian,vegetarian,not vegetarian
crisp cabbage,"asian pear, roasted kabocha squash, hazelnut furikake, miso dressing",Vegetarian,21,"crisp cabbage : asian pear, roasted kabocha squash, hazelnut furikake, miso dressing",not vegetarian,not vegetarian,not vegetarian,vegetarian,not vegetarian
dosa,"yogurt, avocado, sprouts",Vegetarian,24,"dosa : yogurt, avocado, sprouts",not vegetarian,not vegetarian,not vegetarian,vegetarian,not vegetarian
crunchy market greens & radish,"cashew peppercorn ranch, rye crouton, horseradish",Vegetarian,23,"crunchy market greens & radish : cashew peppercorn ranch, rye crouton, horseradish",not vegetarian,not vegetarian,not vegetarian,vegetarian,not vegetarian
matsutake mushrooms in fragrant yuzu broth,"yuba budding chive purses, simmered fall greens and roots",Vegetarian,33,"matsutake mushrooms in fragrant yuzu broth : yuba budding chive purses, simmered fall greens and roots",not vegetarian,not vegetarian,not vegetarian,vegetarian,not vegetarian
bergamot scented spaghetti,"rainbow chard, pine nut crumb, smoked chili, mint, gran kinara cheese",Vegetarian,27,"bergamot scented spaghetti : rainbow chard, pine nut crumb, smoked chili, mint, gran kinara cheese",not vegetarian,not vegetarian,not vegetarian,vegetarian,not vegetarian
mushroom walnut bolognese,"carrot paccheri, celery, mint",Vegetarian,32,"mushroom walnut bolognese : carrot paccheri, celery, mint",not vegetarian,vegetarian,not vegetarian,vegetarian,vegetarian
seared tofu,"black maitake mushroom, broccolini, yuzu, ginger, scallion",Vegetarian,35,"seared tofu : black maitake mushroom, broccolini, yuzu, ginger, scallion",not vegetarian,vegetarian,not vegetarian,vegetarian,vegetarian
"coconut sticky rice, pandan, key lime, sea salt",no description,Vegetarian,17,"coconut sticky rice, pandan, key lime, sea salt : no description",not vegetarian,not vegetarian,not vegetarian,vegetarian,not vegetarian
GREEK VILLAGE OMELET,"fresh spinach, scallions and feta cheese cooked in a fluffy omelet",Vegetarian,15,"GREEK VILLAGE OMELET : fresh spinach, scallions and feta cheese cooked in a fluffy omelet",not vegetarian,vegetarian,not vegetarian,vegetarian,vegetarian
GREEK ISLAND FRITTATA,hearty baked omelet with potatoes and country sausages flavored with orange zest,Vegetarian,,GREEK ISLAND FRITTATA : hearty baked omelet with potatoes and country sausages flavored with orange zest,not vegetarian,not vegetarian,not vegetarian,vegetarian,not vegetarian
GREEK GRILLED CHEESE SANDWICH,"pita bread filled with kasseri, tomatoes and pastourma, pan-fried and served with a simple green salad",Not Vegetarian,16,"GREEK GRILLED CHEESE SANDWICH : pita bread filled with kasseri, tomatoes and pastourma, pan-fried and served with a simple green salad",not vegetarian,not vegetarian,not vegetarian,vegetarian,not vegetarian
VEGETARIAN PITA SANDWICH,"pita bread filled with grilled eggplant, zucchini, roasted red peppers and feta",Vegetarian,,"VEGETARIAN PITA SANDWICH : pita bread filled with grilled eggplant, zucchini, roasted red peppers and feta",vegetarian,vegetarian,vegetarian,vegetarian,vegetarian
AVGOLEMONO ME SAMPANIA,"champagne avgolemono, PYLOS’ smooth as silk classic egg-lemon soup with chicken stock and orzo",Not Vegetarian,,"AVGOLEMONO ME SAMPANIA : champagne avgolemono, PYLOS’ smooth as silk classic egg-lemon soup with chicken stock and orzo",not vegetarian,not vegetarian,not vegetarian,not vegetarian,not vegetarian
ELINIKI SALATA,"greek salad with lettuce, fresh tomatoes, cucumbers, onions, stuffed grape leaves, feta and kalamata olives",Vegetarian,,"ELINIKI SALATA : greek salad with lettuce, fresh tomatoes, cucumbers, onions, stuffed grape leaves, feta and kalamata olives",not vegetarian,vegetarian,not vegetarian,vegetarian,vegetarian
HORIATIKI,"the classic greek village salad, with fresh tomatoes, onions, cucumbers, capers, kalamata olives, feta and a simple dressing of extra-virgin greek olive oil and red wine vinegar",Vegetarian,,"HORIATIKI : the classic greek village salad, with fresh tomatoes, onions, cucumbers, capers, kalamata olives, feta and a simple dressing of extra-virgin greek olive oil and red wine vinegar",not vegetarian,not vegetarian,not vegetarian,vegetarian,not vegetarian
SPANAKOPITA,"crispy savory greek phyllo pastry filled with fresh spinach, feta and aromatic herbs",Vegetarian,13,"SPANAKOPITA : crispy savory greek phyllo pastry filled with fresh spinach, feta and aromatic herbs",not vegetarian,not vegetarian,not vegetarian,vegetarian,not vegetarian
KOLOKYTHAKIA KAI MELITZANAKIA TYGANITA,"crisp, fried zucchini and eggplant rounds served with tzatziki",Vegetarian,12,"KOLOKYTHAKIA KAI MELITZANAKIA TYGANITA : crisp, fried zucchini and eggplant rounds served with tzatziki",not vegetarian,not vegetarian,vegetarian,vegetarian,not vegetarian
KALAMARAKIA TYGANITA,crisp fresh fried squid,Not Vegetarian,14,KALAMARAKIA TYGANITA : crisp fresh fried squid,not vegetarian,not vegetarian,not vegetarian,not vegetarian,not vegetarian
AFRATA KEFTEDAKIA,"PYLOS’ light-as-air meatballs, pan-fried in olive oil",Vegetarian,13,"AFRATA KEFTEDAKIA : PYLOS’ light-as-air meatballs, pan-fried in olive oil",not vegetarian,not vegetarian,not vegetarian,not vegetarian,not vegetarian
GARIDES OUZO,large shrimp cooked in a light ouzo and tomato cream sauce,Not Vegetarian,18,GARIDES OUZO : large shrimp cooked in a light ouzo and tomato cream sauce,not vegetarian,not vegetarian,not vegetarian,not vegetarian,not vegetarian
SAGANAKI TOU MERAKLI,three greek cheeses melted in a clay pot,Vegetarian,13,SAGANAKI TOU MERAKLI : three greek cheeses melted in a clay pot,not vegetarian,not vegetarian,not vegetarian,not vegetarian,not vegetarian
HTAPOTHI SCHARAS,"classic grilled, marinated octopus with a balsamic reduction sauce and capers",Not Vegetarian,,"HTAPOTHI SCHARAS : classic grilled, marinated octopus with a balsamic reduction sauce and capers",not vegetarian,not vegetarian,not vegetarian,not vegetarian,not vegetarian
GREEK YIAYIA’S FRIED POTATOES,wedges of handcut fried potatoes served with grated greek sheep’s milk cheese and oregano,Vegetarian,8,GREEK YIAYIA’S FRIED POTATOES : wedges of handcut fried potatoes served with grated greek sheep’s milk cheese and oregano,not vegetarian,not vegetarian,not vegetarian,vegetarian,not vegetarian
SPANAKORIZO,classic spinach-rice lemon pilaf served with crumbled feta,Vegetarian,,SPANAKORIZO : classic spinach-rice lemon pilaf served with crumbled feta,not vegetarian,vegetarian,not vegetarian,vegetarian,vegetarian
PASTITSIO,PYLOS’ terrine of baked pasta layered with aromatic meat sauce and béchamel,Not Vegetarian,20,PASTITSIO : PYLOS’ terrine of baked pasta layered with aromatic meat sauce and béchamel,not vegetarian,not vegetarian,not vegetarian,not vegetarian,not vegetarian
MOUSSAKA,"layers of lightly sautéed eggplant, zucchini and potato baked in a clay dish with aromatic ground meat sauce and béchamel",Not Vegetarian,,"MOUSSAKA : layers of lightly sautéed eggplant, zucchini and potato baked in a clay dish with aromatic ground meat sauce and béchamel",not vegetarian,not vegetarian,not vegetarian,vegetarian,not vegetarian
DIPS,"comes with pita; LABNEH za’atar; MUHAMMARA roasted red pepper, walnut; MATBUCHA tomato confit, smoked paprika",Vegetarian,11 (each) / 29 (all three),"DIPS : comes with pita; LABNEH za’atar; MUHAMMARA roasted red pepper, walnut; MATBUCHA tomato confit, smoked paprika",not vegetarian,not vegetarian,not vegetarian,vegetarian,not vegetarian
FENNEL & PEAR,"celery, pecorino, breadcrumbs",Vegetarian,22,"FENNEL & PEAR : celery, pecorino, breadcrumbs",not vegetarian,vegetarian,not vegetarian,vegetarian,vegetarian
ENDIVE,"radicchio, apples, pecan, gorgonzola",Vegetarian,24,"ENDIVE : radicchio, apples, pecan, gorgonzola",vegetarian,not vegetarian,vegetarian,vegetarian,not vegetarian
SCALLOP CRUDO,"brown butter, gooseberries, meyer lemon",Vegetarian,26,"SCALLOP CRUDO : brown butter, gooseberries, meyer lemon",not vegetarian,not vegetarian,not vegetarian,not vegetarian,not vegetarian
MUSHROOM BUREKA,black truffle butter (add bureka +6),Not Vegetarian,24,MUSHROOM BUREKA : black truffle butter (add bureka +6),not vegetarian,not vegetarian,not vegetarian,not vegetarian,not vegetarian
PARSNIP RISOTTO,"parmesan, fried sage",Vegetarian,28,"PARSNIP RISOTTO : parmesan, fried sage",not vegetarian,not vegetarian,not vegetarian,not vegetarian,not vegetarian
LAMB KEBAB,"malawach, sumac onion, zhoug, tahini (add skewer +15)",Not Vegetarian,33,"LAMB KEBAB : malawach, sumac onion, zhoug, tahini (add skewer +15)",not vegetarian,not vegetarian,not vegetarian,not vegetarian,not vegetarian
HARISSA CHICKEN,"tzatziki, castelvetrano olives, pine nuts",Not Vegetarian,36,"HARISSA CHICKEN : tzatziki, castelvetrano olives, pine nuts",not vegetarian,not vegetarian,not vegetarian,vegetarian,not vegetarian
DUCK CONFIT HARRIRA,"spaghetti squash, chickpeas, cilantro",Not Vegetarian,32,"DUCK CONFIT HARRIRA : spaghetti squash, chickpeas, cilantro",not vegetarian,vegetarian,not vegetarian,vegetarian,vegetarian
WHOLE BRANZINO,"braised leeks, seaweed butter",Not Vegetarian,46,"WHOLE BRANZINO : braised leeks, seaweed butter",not vegetarian,not vegetarian,not vegetarian,not vegetarian,not vegetarian
misticanza,"castelfranco, rossa del veneto, escarole, capers, focaccia croutons, pecorino",Vegetarian,22,"misticanza : castelfranco, rossa del veneto, escarole, capers, focaccia croutons, pecorino",not vegetarian,not vegetarian,not vegetarian,not vegetarian,not vegetarian
