Title,Description,Manual,Price,test_str,bart-large-mnli,mDeBERTa-v3-base-mnli-xnli,DeBERTa-v3-base-mnli-fever-anli,deberta-v3-base-zeroshot-v1.1-all-33
CHILI CRAB,"Mix Of Jumbo Lump Crab Meat, Chili, Garlic",not vegetarian,24,"CHILI CRAB : Mix Of Jumbo Lump Crab Meat, Chili, Garlic",meat,meat,meat,meat
MASALE WALI MACHLI,"Halibut Marinated In Ginger, Garlic, Chili Powder, Carom Seeds, Lemon Juice Finished On Grill",not vegetarian,24,"MASALE WALI MACHLI : Halibut Marinated In Ginger, Garlic, Chili Powder, Carom Seeds, Lemon Juice Finished On Grill",meat,vegetarian,meat,meat
BATAKI KOSHA,"Minced Duck Cooked With Onion, Ginger, Garlic, Garam Masala Hand Rolled In A Rice Crepe",not vegetarian,20,"BATAKI KOSHA : Minced Duck Cooked With Onion, Ginger, Garlic, Garam Masala Hand Rolled In A Rice Crepe",meat,meat,meat,meat
MURGH MALOVA,"Chicken Marinated In Apple Cider Vinegar, Ground Pepper, Curry Leaves Cooked In A Fiery Red Chili Paste",not vegetarian,18,"MURGH MALOVA : Chicken Marinated In Apple Cider Vinegar, Ground Pepper, Curry Leaves Cooked In A Fiery Red Chili Paste",meat,meat,meat,meat
MURGH MALAI KABAB,"Chicken Marinated In Hung Yogurt, Coriander, Cream Cheese, Carom Seeds Finished In Tandoor",not vegetarian,18,"MURGH MALAI KABAB : Chicken Marinated In Hung Yogurt, Coriander, Cream Cheese, Carom Seeds Finished In Tandoor",meat,meat,meat,meat
PATHAR KE KABAB,"Stoned Grilled Pounded Lamb Marinated In Mace, Nutmeg, Papaya, Rose Water",not vegetarian,22,"PATHAR KE KABAB : Stoned Grilled Pounded Lamb Marinated In Mace, Nutmeg, Papaya, Rose Water",meat,meat,meat,meat
NIZAMI KEEMA,"Ground Lamb Cooked Along Cinnamon, Cloves, Nutmeg, Lemon Zest",not vegetarian,20,"NIZAMI KEEMA : Ground Lamb Cooked Along Cinnamon, Cloves, Nutmeg, Lemon Zest",meat,meat,meat,meat
SHE CRAB SOUP,"Thick Soup Of She Crab Meat, Curry Leaves, Root Vegetables, Coconut Rum",not vegetarian,17,"SHE CRAB SOUP : Thick Soup Of She Crab Meat, Curry Leaves, Root Vegetables, Coconut Rum",meat,meat,meat,meat
TOMATO RASAM,"Broth Of Tomato, Garlic, Lemon Juice, Curry Leaves And Mustard Seeds.",vegetarian,12,"TOMATO RASAM : Broth Of Tomato, Garlic, Lemon Juice, Curry Leaves And Mustard Seeds.",meat,vegetarian,vegetarian,vegetarian
MULLIGATAWNY,"A Spicy Favorite Of Anglo-Indians Made Of Chicken, Red Lentils, Vegetables",not vegetarian,14,"MULLIGATAWNY : A Spicy Favorite Of Anglo-Indians Made Of Chicken, Red Lentils, Vegetables",meat,vegetarian,meat,vegetarian
KOSHIMBIR,"Romaine Lettuce, Grilled Asparagus, Brussels Sprout, Kirby, Cherry Tomato, Fetta Cheese, Lime Vinaigrette",vegetarian,13,"KOSHIMBIR : Romaine Lettuce, Grilled Asparagus, Brussels Sprout, Kirby, Cherry Tomato, Fetta Cheese, Lime Vinaigrette",vegetarian,vegetarian,vegetarian,vegetarian
ANUM ZAARA,"Grilled Chicken, Mixed Greens, Pink Grapefruit, Beets, Goat Cheese, Walnuts, Maple And Apple Cider Dressing",not vegetarian,15,"ANUM ZAARA : Grilled Chicken, Mixed Greens, Pink Grapefruit, Beets, Goat Cheese, Walnuts, Maple And Apple Cider Dressing",meat,meat,meat,meat
JALPARI,"Basil Shrimp, Bean And Radish Sprouts, Pea Shoots, Micro Greens, Honey And Ginger Dressing",not vegetarian,18,"JALPARI : Basil Shrimp, Bean And Radish Sprouts, Pea Shoots, Micro Greens, Honey And Ginger Dressing",vegetarian,vegetarian,vegetarian,vegetarian
SMOKEY JHINGA,"Tiger Prawns Marinated In Ginger, Garlic, Vinegar, Lemon Juice, Olive Oil, Black Pepper",not vegetarian,43,"SMOKEY JHINGA : Tiger Prawns Marinated In Ginger, Garlic, Vinegar, Lemon Juice, Olive Oil, Black Pepper",meat,vegetarian,meat,meat
JHINGA E AATISH,"Prawns Marinated In Yogurt, Roasted Chilies, Cilantro",not vegetarian,38,"JHINGA E AATISH : Prawns Marinated In Yogurt, Roasted Chilies, Cilantro",meat,vegetarian,meat,meat
HASIRU SAMUDRA,"Chilean Sea Bass Flavored With Green Chili, Mint, Coriander, Tomato Kokum Sauce",not vegetarian,46,"HASIRU SAMUDRA : Chilean Sea Bass Flavored With Green Chili, Mint, Coriander, Tomato Kokum Sauce",meat,meat,meat,vegetarian
MALAI HALIBUT,~ GRAND PRIZE WINNER OF THE 2004 USA FISH DISH AWARDS ~,not vegetarian,41,MALAI HALIBUT : ~ GRAND PRIZE WINNER OF THE 2004 USA FISH DISH AWARDS ~,meat,vegetarian,meat,meat
CHICKEN TIKKA NAAN,Light Bread Stuffed With Finely Chopped Tandoori Chicken,not vegetarian,10,CHICKEN TIKKA NAAN : Light Bread Stuffed With Finely Chopped Tandoori Chicken,meat,meat,meat,meat
endive salad*,no description,vegetarian,21,endive salad* : no description,vegetarian,vegetarian,vegetarian,vegetarian
"dragonfruit, cara cara orange, pistachios, pecorino",add salt & pepper chicken,not vegetarian,7,"dragonfruit, cara cara orange, pistachios, pecorino : add salt & pepper chicken",meat,meat,meat,meat
karaoke fries,"h.k. curry, fish balls, pickled onions, cheddar cheese curds",not vegetarian,15,"karaoke fries : h.k. curry, fish balls, pickled onions, cheddar cheese curds",meat,meat,meat,vegetarian
taro shrimp fritters,cilantro aioli,not vegetarian,12,taro shrimp fritters : cilantro aioli,meat,vegetarian,meat,vegetarian
bolo bao milk toast,w/ milk tea butter,vegetarian,15,bolo bao milk toast : w/ milk tea butter,vegetarian,vegetarian,vegetarian,vegetarian
hong kong french toast,"salted egg yolk lava, condensed milk, cultured butter",vegetarian,15,"hong kong french toast : salted egg yolk lava, condensed milk, cultured butter",meat,vegetarian,vegetarian,vegetarian
salt & pepper chicken sandwich w. french fries,"pickled mustard greens aioli, arugula pork belly cha siu & egg sandwich w. french fries ",not vegetarian,21,"salt & pepper chicken sandwich w. french fries : pickled mustard greens aioli, arugula pork belly cha siu & egg sandwich w. french fries ",meat,meat,meat,meat
"hoisin garlic aioli, arugula sunny side eggs over radish cake hash*","shishito peppers, bacon, arugula",not vegetarian,16,"hoisin garlic aioli, arugula sunny side eggs over radish cake hash* : shishito peppers, bacon, arugula",meat,meat,meat,vegetarian
potluck chow mein*,"hanger steak, garlic chives, pickled onions",not vegetarian,24,"potluck chow mein* : hanger steak, garlic chives, pickled onions",meat,meat,meat,meat
endive salad*,"dragonfruit, cara cara orange, pistachios, pecorino",vegetarian,21,"endive salad* : dragonfruit, cara cara orange, pistachios, pecorino",vegetarian,vegetarian,vegetarian,vegetarian
pork belly cha siu & egg sandwich w. french fries,"hoisin garlic aioli, arugula",not vegetarian,21,"pork belly cha siu & egg sandwich w. french fries : hoisin garlic aioli, arugula",meat,meat,meat,meat
sunny side eggs over radish cake hash*,"shishito peppers, bacon, arugula",not vegetarian,16,"sunny side eggs over radish cake hash* : shishito peppers, bacon, arugula",vegetarian,vegetarian,meat,vegetarian
Chana-Chenna Tikki (v),"green garbanzo, housemade cheese, tomato chutney (2 pc)",vegetarian,17,"Chana-Chenna Tikki (v) : green garbanzo, housemade cheese, tomato chutney (2 pc)",vegetarian,vegetarian,vegetarian,vegetarian
"Paneer Tikka (v, gf)","house made paneer, ajwain, yogurt (2 pc)",vegetarian,21,"Paneer Tikka (v, gf) : house made paneer, ajwain, yogurt (2 pc)",vegetarian,vegetarian,vegetarian,vegetarian
Bohri Chicken Cutlet,"chicken mince, green chili, Amul cheese (2 pc)",not vegetarian,18,"Bohri Chicken Cutlet : chicken mince, green chili, Amul cheese (2 pc)",meat,meat,meat,meat
Jama Masjid Seekh,"smoked lamb belly, ginger, cilantro (1 pc)",not vegetarian,,"Jama Masjid Seekh : smoked lamb belly, ginger, cilantro (1 pc)",meat,meat,meat,meat
"Lasooni Palak (v, gf)","spinach, garlic, cumin seeds",vegetarian,17,"Lasooni Palak (v, gf) : spinach, garlic, cumin seeds",vegetarian,vegetarian,vegetarian,vegetarian
"Baingan Bharta (v, gf)","grilled eggplant, onion, green chili",vegetarian,17,"Baingan Bharta (v, gf) : grilled eggplant, onion, green chili",vegetarian,vegetarian,vegetarian,vegetarian
Kashmiri Gosht Chaamp (gf),"lamb loin, garam masala, ghee",not vegetarian,22,"Kashmiri Gosht Chaamp (gf) : lamb loin, garam masala, ghee",meat,meat,meat,meat
Beef Pepper Fry (gf),"Wagyu flank, curry leaves, Tellicherry pepper",not vegetarian,,"Beef Pepper Fry (gf) : Wagyu flank, curry leaves, Tellicherry pepper",meat,meat,meat,meat
Macchi Hara Masala (gf),"rainbow trout, cilantro, mint",not vegetarian,,"Macchi Hara Masala (gf) : rainbow trout, cilantro, mint",meat,vegetarian,meat,vegetarian
Butter Pepper Garlic Crab (gf),"crab, Amul butter, garlic, crushed black pepper",not vegetarian,,"Butter Pepper Garlic Crab (gf) : crab, Amul butter, garlic, crushed black pepper",meat,vegetarian,meat,meat
"Paneer Methi (v, gf, n)","house made paneer, fenugreek, tomato",vegetarian,,"Paneer Methi (v, gf, n) : house made paneer, fenugreek, tomato",meat,vegetarian,vegetarian,vegetarian
"Dahi Waali Bhindi (v, gf)","okra, yogurt, Rajasthani red chili",vegetarian,,"Dahi Waali Bhindi (v, gf) : okra, yogurt, Rajasthani red chili",vegetarian,vegetarian,vegetarian,vegetarian
Malai Murgh,"chicken, cream, Amul butter",not vegetarian,,"Malai Murgh : chicken, cream, Amul butter",meat,meat,meat,meat
Rara Gosht (gf),"goat meat & mince, yogurt, onions, garam masala",not vegetarian,,"Rara Gosht (gf) : goat meat & mince, yogurt, onions, garam masala",meat,meat,meat,meat
Kolambi ani Kekda Bhaath (gf),"tiger prawn, crab, aged basmati rice",not vegetarian,,"Kolambi ani Kekda Bhaath (gf) : tiger prawn, crab, aged basmati rice",meat,vegetarian,meat,vegetarian
Nalli Biryani,"slow braised lamb shank, aged basmati rice",not vegetarian,,"Nalli Biryani : slow braised lamb shank, aged basmati rice",meat,meat,meat,meat
Gurda Kapoora,"goat kidney & testicles, tomato, pao",not vegetarian,23,"Gurda Kapoora : goat kidney & testicles, tomato, pao",meat,meat,meat,meat
Champaran Meat,"mutton, whole garlic, red chili",not vegetarian,49,"Champaran Meat : mutton, whole garlic, red chili",meat,meat,meat,meat
Lamb Musallam Feast (gf),"lamb shoulder, saffron, cashews, aged basmati rice",not vegetarian,225,"Lamb Musallam Feast (gf) : lamb shoulder, saffron, cashews, aged basmati rice",meat,meat,meat,meat
"Dhaba Dal (v, gf)",no description,vegetarian,13,"Dhaba Dal (v, gf) : no description",vegetarian,vegetarian,vegetarian,vegetarian
green chickpea hummus,"mint, whole wheat pita & crudité",vegetarian,23,"green chickpea hummus : mint, whole wheat pita & crudité",vegetarian,vegetarian,vegetarian,vegetarian
california dates,"whipped coconut yogurt and tahini, crunchy sea salt, lemon, pistachio, mint, sicilian olive oil",vegetarian,17,"california dates : whipped coconut yogurt and tahini, crunchy sea salt, lemon, pistachio, mint, sicilian olive oil",vegetarian,vegetarian,vegetarian,vegetarian
dosa,"fermented turmeric sambal, coriander mint chutney, mango chutney",vegetarian,25,"dosa : fermented turmeric sambal, coriander mint chutney, mango chutney",vegetarian,vegetarian,vegetarian,vegetarian
cornmeal crusted oyster mushrooms,"cashew lime leaf dip, passion fruit, grenada pepper sauce",vegetarian,24,"cornmeal crusted oyster mushrooms : cashew lime leaf dip, passion fruit, grenada pepper sauce",meat,vegetarian,vegetarian,vegetarian
honeynut squash dip,"tahini, warming spices, sourdough focaccia",vegetarian,22,"honeynut squash dip : tahini, warming spices, sourdough focaccia",vegetarian,vegetarian,vegetarian,vegetarian
roasted murasaki yam,"black sesame, white sesame, ginger, scallion, lime",vegetarian,24,"roasted murasaki yam : black sesame, white sesame, ginger, scallion, lime",meat,vegetarian,vegetarian,vegetarian
wood roasted freekeh,"sunchoke, saffron labneh, green olive, orange",vegetarian,26,"wood roasted freekeh : sunchoke, saffron labneh, green olive, orange",meat,vegetarian,meat,vegetarian
char grilled rainbow carrots,"seed & nut butter, fermented sambal, finger lime, thai basil",vegetarian,27,"char grilled rainbow carrots : seed & nut butter, fermented sambal, finger lime, thai basil",vegetarian,vegetarian,vegetarian,vegetarian
whole roasted cauliflower,"turmeric tahini, za’atar, pomegranate, date molasses, red zhug, fresh herbs, pistachio",vegetarian,34,"whole roasted cauliflower : turmeric tahini, za’atar, pomegranate, date molasses, red zhug, fresh herbs, pistachio",vegetarian,vegetarian,vegetarian,vegetarian
market beets,"avocado purée, flavors of tartare",vegetarian,24,"market beets : avocado purée, flavors of tartare",meat,vegetarian,vegetarian,meat
avocado lettuce cups,"toasted cumin, serrano and lime, pepitas",vegetarian,22,"avocado lettuce cups : toasted cumin, serrano and lime, pepitas",vegetarian,vegetarian,vegetarian,vegetarian
crisp cabbage,"asian pear, roasted kabocha squash, hazelnut furikake, miso dressing",vegetarian,21,"crisp cabbage : asian pear, roasted kabocha squash, hazelnut furikake, miso dressing",meat,vegetarian,vegetarian,vegetarian
dosa,"yogurt, avocado, sprouts",vegetarian,24,"dosa : yogurt, avocado, sprouts",vegetarian,vegetarian,vegetarian,vegetarian
crunchy market greens & radish,"cashew peppercorn ranch, rye crouton, horseradish",vegetarian,23,"crunchy market greens & radish : cashew peppercorn ranch, rye crouton, horseradish",meat,vegetarian,vegetarian,vegetarian
matsutake mushrooms in fragrant yuzu broth,"yuba budding chive purses, simmered fall greens and roots",vegetarian,33,"matsutake mushrooms in fragrant yuzu broth : yuba budding chive purses, simmered fall greens and roots",meat,vegetarian,vegetarian,vegetarian
bergamot scented spaghetti,"rainbow chard, pine nut crumb, smoked chili, mint, gran kinara cheese",vegetarian,27,"bergamot scented spaghetti : rainbow chard, pine nut crumb, smoked chili, mint, gran kinara cheese",meat,vegetarian,vegetarian,vegetarian
mushroom walnut bolognese,"carrot paccheri, celery, mint",vegetarian,32,"mushroom walnut bolognese : carrot paccheri, celery, mint",vegetarian,vegetarian,meat,vegetarian
seared tofu,"black maitake mushroom, broccolini, yuzu, ginger, scallion",vegetarian,35,"seared tofu : black maitake mushroom, broccolini, yuzu, ginger, scallion",meat,vegetarian,vegetarian,vegetarian
"coconut sticky rice, pandan, key lime, sea salt",no description,vegetarian,17,"coconut sticky rice, pandan, key lime, sea salt : no description",vegetarian,vegetarian,vegetarian,vegetarian
GREEK VILLAGE OMELET,"fresh spinach, scallions and feta cheese cooked in a fluffy omelet",vegetarian,15,"GREEK VILLAGE OMELET : fresh spinach, scallions and feta cheese cooked in a fluffy omelet",vegetarian,vegetarian,vegetarian,vegetarian
GREEK ISLAND FRITTATA,hearty baked omelet with potatoes and country sausages flavored with orange zest,vegetarian,,GREEK ISLAND FRITTATA : hearty baked omelet with potatoes and country sausages flavored with orange zest,meat,meat,meat,meat
GREEK GRILLED CHEESE SANDWICH,"pita bread filled with kasseri, tomatoes and pastourma, pan-fried and served with a simple green salad",not vegetarian,16,"GREEK GRILLED CHEESE SANDWICH : pita bread filled with kasseri, tomatoes and pastourma, pan-fried and served with a simple green salad",meat,vegetarian,vegetarian,vegetarian
VEGETARIAN PITA SANDWICH,"pita bread filled with grilled eggplant, zucchini, roasted red peppers and feta",vegetarian,,"VEGETARIAN PITA SANDWICH : pita bread filled with grilled eggplant, zucchini, roasted red peppers and feta",vegetarian,vegetarian,vegetarian,vegetarian
AVGOLEMONO ME SAMPANIA,"champagne avgolemono, PYLOS’ smooth as silk classic egg-lemon soup with chicken stock and orzo",not vegetarian,,"AVGOLEMONO ME SAMPANIA : champagne avgolemono, PYLOS’ smooth as silk classic egg-lemon soup with chicken stock and orzo",meat,vegetarian,meat,vegetarian
ELINIKI SALATA,"greek salad with lettuce, fresh tomatoes, cucumbers, onions, stuffed grape leaves, feta and kalamata olives",vegetarian,,"ELINIKI SALATA : greek salad with lettuce, fresh tomatoes, cucumbers, onions, stuffed grape leaves, feta and kalamata olives",vegetarian,vegetarian,vegetarian,vegetarian
HORIATIKI,"the classic greek village salad, with fresh tomatoes, onions, cucumbers, capers, kalamata olives, feta and a simple dressing of extra-virgin greek olive oil and red wine vinegar",vegetarian,,"HORIATIKI : the classic greek village salad, with fresh tomatoes, onions, cucumbers, capers, kalamata olives, feta and a simple dressing of extra-virgin greek olive oil and red wine vinegar",meat,vegetarian,vegetarian,vegetarian
SPANAKOPITA,"crispy savory greek phyllo pastry filled with fresh spinach, feta and aromatic herbs",vegetarian,13,"SPANAKOPITA : crispy savory greek phyllo pastry filled with fresh spinach, feta and aromatic herbs",vegetarian,vegetarian,vegetarian,vegetarian
KOLOKYTHAKIA KAI MELITZANAKIA TYGANITA,"crisp, fried zucchini and eggplant rounds served with tzatziki",vegetarian,12,"KOLOKYTHAKIA KAI MELITZANAKIA TYGANITA : crisp, fried zucchini and eggplant rounds served with tzatziki",vegetarian,vegetarian,vegetarian,vegetarian
KALAMARAKIA TYGANITA,crisp fresh fried squid,not vegetarian,14,KALAMARAKIA TYGANITA : crisp fresh fried squid,meat,vegetarian,meat,meat
AFRATA KEFTEDAKIA,"PYLOS’ light-as-air meatballs, pan-fried in olive oil",vegetarian,13,"AFRATA KEFTEDAKIA : PYLOS’ light-as-air meatballs, pan-fried in olive oil",meat,meat,meat,meat
GARIDES OUZO,large shrimp cooked in a light ouzo and tomato cream sauce,not vegetarian,18,GARIDES OUZO : large shrimp cooked in a light ouzo and tomato cream sauce,meat,vegetarian,meat,meat
SAGANAKI TOU MERAKLI,three greek cheeses melted in a clay pot,vegetarian,13,SAGANAKI TOU MERAKLI : three greek cheeses melted in a clay pot,meat,vegetarian,vegetarian,vegetarian
HTAPOTHI SCHARAS,"classic grilled, marinated octopus with a balsamic reduction sauce and capers",not vegetarian,,"HTAPOTHI SCHARAS : classic grilled, marinated octopus with a balsamic reduction sauce and capers",meat,meat,meat,vegetarian
GREEK YIAYIA’S FRIED POTATOES,wedges of handcut fried potatoes served with grated greek sheep’s milk cheese and oregano,vegetarian,8,GREEK YIAYIA’S FRIED POTATOES : wedges of handcut fried potatoes served with grated greek sheep’s milk cheese and oregano,meat,vegetarian,vegetarian,vegetarian
SPANAKORIZO,classic spinach-rice lemon pilaf served with crumbled feta,vegetarian,,SPANAKORIZO : classic spinach-rice lemon pilaf served with crumbled feta,vegetarian,vegetarian,vegetarian,vegetarian
PASTITSIO,PYLOS’ terrine of baked pasta layered with aromatic meat sauce and béchamel,not vegetarian,20,PASTITSIO : PYLOS’ terrine of baked pasta layered with aromatic meat sauce and béchamel,meat,meat,meat,meat
MOUSSAKA,"layers of lightly sautéed eggplant, zucchini and potato baked in a clay dish with aromatic ground meat sauce and béchamel",not vegetarian,,"MOUSSAKA : layers of lightly sautéed eggplant, zucchini and potato baked in a clay dish with aromatic ground meat sauce and béchamel",meat,vegetarian,meat,vegetarian
DIPS,"comes with pita; LABNEH za’atar; MUHAMMARA roasted red pepper, walnut; MATBUCHA tomato confit, smoked paprika",vegetarian,11 (each) / 29 (all three),"DIPS : comes with pita; LABNEH za’atar; MUHAMMARA roasted red pepper, walnut; MATBUCHA tomato confit, smoked paprika",vegetarian,vegetarian,vegetarian,vegetarian
FENNEL & PEAR,"celery, pecorino, breadcrumbs",vegetarian,22,"FENNEL & PEAR : celery, pecorino, breadcrumbs",vegetarian,vegetarian,vegetarian,vegetarian
ENDIVE,"radicchio, apples, pecan, gorgonzola",vegetarian,24,"ENDIVE : radicchio, apples, pecan, gorgonzola",vegetarian,vegetarian,vegetarian,vegetarian
SCALLOP CRUDO,"brown butter, gooseberries, meyer lemon",vegetarian,26,"SCALLOP CRUDO : brown butter, gooseberries, meyer lemon",meat,vegetarian,meat,vegetarian
MUSHROOM BUREKA,black truffle butter (add bureka +6),not vegetarian,24,MUSHROOM BUREKA : black truffle butter (add bureka +6),meat,vegetarian,meat,vegetarian
PARSNIP RISOTTO,"parmesan, fried sage",vegetarian,28,"PARSNIP RISOTTO : parmesan, fried sage",vegetarian,vegetarian,meat,meat
LAMB KEBAB,"malawach, sumac onion, zhoug, tahini (add skewer +15)",not vegetarian,33,"LAMB KEBAB : malawach, sumac onion, zhoug, tahini (add skewer +15)",meat,vegetarian,meat,meat
HARISSA CHICKEN,"tzatziki, castelvetrano olives, pine nuts",not vegetarian,36,"HARISSA CHICKEN : tzatziki, castelvetrano olives, pine nuts",meat,meat,meat,meat
DUCK CONFIT HARRIRA,"spaghetti squash, chickpeas, cilantro",not vegetarian,32,"DUCK CONFIT HARRIRA : spaghetti squash, chickpeas, cilantro",meat,vegetarian,vegetarian,vegetarian
WHOLE BRANZINO,"braised leeks, seaweed butter",not vegetarian,46,"WHOLE BRANZINO : braised leeks, seaweed butter",vegetarian,vegetarian,meat,vegetarian
misticanza,"castelfranco, rossa del veneto, escarole, capers, focaccia croutons, pecorino",vegetarian,22,"misticanza : castelfranco, rossa del veneto, escarole, capers, focaccia croutons, pecorino",meat,vegetarian,vegetarian,vegetarian
roasted honeynut squash,"taleggio, hazelnuts, brown butter, cantucci, spigarello",vegetarian,23,"roasted honeynut squash : taleggio, hazelnuts, brown butter, cantucci, spigarello",meat,vegetarian,vegetarian,vegetarian
suppli,"white truffle, bufala mozzarella, porcini",vegetarian,26,"suppli : white truffle, bufala mozzarella, porcini",meat,vegetarian,meat,vegetarian
midollo,"roasted bone marrow, beef tartare, celery root",not vegetarian,25,"midollo : roasted bone marrow, beef tartare, celery root",meat,meat,meat,meat
cappelletti,"roasted chestnut, parmigiano, radicchio, brown butter",vegetarian,35,"cappelletti : roasted chestnut, parmigiano, radicchio, brown butter",meat,vegetarian,meat,vegetarian
busiate,"roasted garlic, parsley, pepperoncino, lemon",vegetarian,28,"busiate : roasted garlic, parsley, pepperoncino, lemon",vegetarian,vegetarian,vegetarian,vegetarian
agnolotti,"short rib, duck jus, chive",not vegetarian,38,"agnolotti : short rib, duck jus, chive",meat,meat,meat,meat
lasagna,"rabbit & veal ragu, chervil, almonds, bufala mozzarella",not vegetarian,28,"lasagna : rabbit & veal ragu, chervil, almonds, bufala mozzarella",meat,meat,meat,meat
Roman Classics,"cacio e pepe, alla gricia, alla carbonara, all'amatriciana",not vegetarian,,"Roman Classics : cacio e pepe, alla gricia, alla carbonara, all'amatriciana",meat,meat,meat,vegetarian
lamb porterhouse,"creamy polenta, tardivo salad, mirto",not vegetarian,46,"lamb porterhouse : creamy polenta, tardivo salad, mirto",meat,meat,meat,meat
rainbow trout,"summer potatoes, lemon curd, Calabrian chili",not vegetarian,48,"rainbow trout : summer potatoes, lemon curd, Calabrian chili",meat,vegetarian,meat,meat
maritozzo,"sweet yeasted brioche, Chantilly creme, citrus",vegetarian,12,"maritozzo : sweet yeasted brioche, Chantilly creme, citrus",meat,vegetarian,vegetarian,vegetarian
gelati & sorbetti,one scoop (flavors change daily),vegetarian,6,gelati & sorbetti : one scoop (flavors change daily),vegetarian,vegetarian,vegetarian,vegetarian
Broccolini,garlic & almonds,vegetarian,14,Broccolini : garlic & almonds,meat,vegetarian,vegetarian,vegetarian
Roast kohlrabi,sugar snap peas & yogurt,vegetarian,16,Roast kohlrabi : sugar snap peas & yogurt,vegetarian,vegetarian,vegetarian,vegetarian
Crispy yams,persian lime aioli,vegetarian,16,Crispy yams : persian lime aioli,vegetarian,vegetarian,vegetarian,vegetarian
Beets,"pistachio, feta cheese",vegetarian,17,"Beets : pistachio, feta cheese",vegetarian,vegetarian,vegetarian,vegetarian
Market Salad,"fennel, radish & chickpea",vegetarian,17,"Market Salad : fennel, radish & chickpea",vegetarian,vegetarian,vegetarian,vegetarian
Heirloom cauliflower,herb tahini & pomegranate,vegetarian,29,Heirloom cauliflower : herb tahini & pomegranate,vegetarian,vegetarian,vegetarian,vegetarian
Crispy quail,"tahini yogurt, pickled egg",not vegetarian,37,"Crispy quail : tahini yogurt, pickled egg",meat,vegetarian,meat,meat
Seared tuna,"sheep yogurt, tomato & chili",not vegetarian,37,"Seared tuna : sheep yogurt, tomato & chili",meat,vegetarian,meat,meat
Dorade,grilled & butterflied,not vegetarian,42,Dorade : grilled & butterflied,meat,meat,meat,meat
Half chicken,breadcrumbs,not vegetarian,34,Half chicken : breadcrumbs,meat,meat,meat,meat
Smoked lamb shawarma,labne & herbs,not vegetarian,38,Smoked lamb shawarma : labne & herbs,meat,meat,meat,meat
TORO SSAM BAP,"Fatty Tuna, Scrambled Egg, Tobiko, Shallots, Jalapeño, Toasted Seaweed, Golden Osetra Caviar",not vegetarian,55,"TORO SSAM BAP : Fatty Tuna, Scrambled Egg, Tobiko, Shallots, Jalapeño, Toasted Seaweed, Golden Osetra Caviar",meat,meat,meat,meat
