Title,Description,Manual,Price,test_str
SMOKEY JHINGA,"Tiger Prawns Marinated In Ginger, Garlic, Vinegar, Lemon Juice, Olive Oil, Black Pepper",Not Vegetarian,43,"SMOKEY JHINGA : Tiger Prawns Marinated In Ginger, Garlic, Vinegar, Lemon Juice, Olive Oil, Black Pepper"
JHINGA E AATISH,"Prawns Marinated In Yogurt, Roasted Chilies, Cilantro",Not Vegetarian,38,"JHINGA E AATISH : Prawns Marinated In Yogurt, Roasted Chilies, Cilantro"
HASIRU SAMUDRA,"Chilean Sea Bass Flavored With Green Chili, Mint, Coriander, Tomato Kokum Sauce",Not Vegetarian,46,"HASIRU SAMUDRA : Chilean Sea Bass Flavored With Green Chili, Mint, Coriander, Tomato Kokum Sauce"
MALAI HALIBUT,~ GRAND PRIZE WINNER OF THE 2004 USA FISH DISH AWARDS ~,Not Vegetarian,41,MALAI HALIBUT : ~ GRAND PRIZE WINNER OF THE 2004 USA FISH DISH AWARDS ~
CHICKEN TIKKA NAAN,Light Bread Stuffed With Finely Chopped Tandoori Chicken,Not Vegetarian,10,CHICKEN TIKKA NAAN : Light Bread Stuffed With Finely Chopped Tandoori Chicken
endive salad*,no description,Vegetarian,21,endive salad* : no description
"dragonfruit, cara cara orange, pistachios, pecorino",add salt & pepper chicken,Not Vegetarian,7,"dragonfruit, cara cara orange, pistachios, pecorino : add salt & pepper chicken"
karaoke fries,"h.k. curry, fish balls, pickled onions, cheddar cheese curds",Not Vegetarian,15,"karaoke fries : h.k. curry, fish balls, pickled onions, cheddar cheese curds"
taro shrimp fritters,cilantro aioli,Not Vegetarian,12,taro shrimp fritters : cilantro aioli
bolo bao milk toast,w/ milk tea butter,Vegetarian,15,bolo bao milk toast : w/ milk tea butter
hong kong french toast,"salted egg yolk lava, condensed milk, cultured butter",Vegetarian,15,"hong kong french toast : salted egg yolk lava, condensed milk, cultured butter"
salt & pepper chicken sandwich w. french fries,"pickled mustard greens aioli, arugula pork belly cha siu & egg sandwich w. french fries ",Not Vegetarian,21,"salt & pepper chicken sandwich w. french fries : pickled mustard greens aioli, arugula pork belly cha siu & egg sandwich w. french fries "
"hoisin garlic aioli, arugula sunny side eggs over radish cake hash*","shishito peppers, bacon, arugula",Not Vegetarian,16,"hoisin garlic aioli, arugula sunny side eggs over radish cake hash* : shishito peppers, bacon, arugula"
potluck chow mein*,"hanger steak, garlic chives, pickled onions",Not Vegetarian,24,"potluck chow mein* : hanger steak, garlic chives, pickled onions"
endive salad*,"dragonfruit, cara cara orange, pistachios, pecorino",Vegetarian,21,"endive salad* : dragonfruit, cara cara orange, pistachios, pecorino"
pork belly cha siu & egg sandwich w. french fries,"hoisin garlic aioli, arugula",Not Vegetarian,21,"pork belly cha siu & egg sandwich w. french fries : hoisin garlic aioli, arugula"
sunny side eggs over radish cake hash*,"shishito peppers, bacon, arugula",Not Vegetarian,16,"sunny side eggs over radish cake hash* : shishito peppers, bacon, arugula"
Chana-Chenna Tikki (v),"green garbanzo, housemade cheese, tomato chutney (2 pc)",Vegetarian,17,"Chana-Chenna Tikki (v) : green garbanzo, housemade cheese, tomato chutney (2 pc)"
"Paneer Tikka (v, gf)","house made paneer, ajwain, yogurt (2 pc)",Vegetarian,21,"Paneer Tikka (v, gf) : house made paneer, ajwain, yogurt (2 pc)"
Bohri Chicken Cutlet,"chicken mince, green chili, Amul cheese (2 pc)",Not Vegetarian,18,"Bohri Chicken Cutlet : chicken mince, green chili, Amul cheese (2 pc)"
Jama Masjid Seekh,"smoked lamb belly, ginger, cilantro (1 pc)",Not Vegetarian,,"Jama Masjid Seekh : smoked lamb belly, ginger, cilantro (1 pc)"
"Lasooni Palak (v, gf)","spinach, garlic, cumin seeds",Vegetarian,17,"Lasooni Palak (v, gf) : spinach, garlic, cumin seeds"
"Baingan Bharta (v, gf)","grilled eggplant, onion, green chili",Vegetarian,17,"Baingan Bharta (v, gf) : grilled eggplant, onion, green chili"
Kashmiri Gosht Chaamp (gf),"lamb loin, garam masala, ghee",Not Vegetarian,22,"Kashmiri Gosht Chaamp (gf) : lamb loin, garam masala, ghee"
Beef Pepper Fry (gf),"Wagyu flank, curry leaves, Tellicherry pepper",Not Vegetarian,,"Beef Pepper Fry (gf) : Wagyu flank, curry leaves, Tellicherry pepper"
Macchi Hara Masala (gf),"rainbow trout, cilantro, mint",Not Vegetarian,,"Macchi Hara Masala (gf) : rainbow trout, cilantro, mint"
Butter Pepper Garlic Crab (gf),"crab, Amul butter, garlic, crushed black pepper",Not Vegetarian,,"Butter Pepper Garlic Crab (gf) : crab, Amul butter, garlic, crushed black pepper"
"Paneer Methi (v, gf, n)","house made paneer, fenugreek, tomato",Vegetarian,,"Paneer Methi (v, gf, n) : house made paneer, fenugreek, tomato"
"Dahi Waali Bhindi (v, gf)","okra, yogurt, Rajasthani red chili",Vegetarian,,"Dahi Waali Bhindi (v, gf) : okra, yogurt, Rajasthani red chili"
Malai Murgh,"chicken, cream, Amul butter",Not Vegetarian,,"Malai Murgh : chicken, cream, Amul butter"
Rara Gosht (gf),"goat meat & mince, yogurt, onions, garam masala",Not Vegetarian,,"Rara Gosht (gf) : goat meat & mince, yogurt, onions, garam masala"
Kolambi ani Kekda Bhaath (gf),"tiger prawn, crab, aged basmati rice",Not Vegetarian,,"Kolambi ani Kekda Bhaath (gf) : tiger prawn, crab, aged basmati rice"
Nalli Biryani,"slow braised lamb shank, aged basmati rice",Not Vegetarian,,"Nalli Biryani : slow braised lamb shank, aged basmati rice"
Gurda Kapoora,"goat kidney & testicles, tomato, pao",Not Vegetarian,23,"Gurda Kapoora : goat kidney & testicles, tomato, pao"
Champaran Meat,"mutton, whole garlic, red chili",Not Vegetarian,49,"Champaran Meat : mutton, whole garlic, red chili"
Lamb Musallam Feast (gf),"lamb shoulder, saffron, cashews, aged basmati rice",Not Vegetarian,225,"Lamb Musallam Feast (gf) : lamb shoulder, saffron, cashews, aged basmati rice"
"Dhaba Dal (v, gf)",no description,Vegetarian,13,"Dhaba Dal (v, gf) : no description"
green chickpea hummus,"mint, whole wheat pita & crudité",Vegetarian,23,"green chickpea hummus : mint, whole wheat pita & crudité"
california dates,"whipped coconut yogurt and tahini, crunchy sea salt, lemon, pistachio, mint, sicilian olive oil",Vegetarian,17,"california dates : whipped coconut yogurt and tahini, crunchy sea salt, lemon, pistachio, mint, sicilian olive oil"
dosa,"fermented turmeric sambal, coriander mint chutney, mango chutney",Vegetarian,25,"dosa : fermented turmeric sambal, coriander mint chutney, mango chutney"
cornmeal crusted oyster mushrooms,"cashew lime leaf dip, passion fruit, grenada pepper sauce",Vegetarian,24,"cornmeal crusted oyster mushrooms : cashew lime leaf dip, passion fruit, grenada pepper sauce"
honeynut squash dip,"tahini, warming spices, sourdough focaccia",Vegetarian,22,"honeynut squash dip : tahini, warming spices, sourdough focaccia"
roasted murasaki yam,"black sesame, white sesame, ginger, scallion, lime",Vegetarian,24,"roasted murasaki yam : black sesame, white sesame, ginger, scallion, lime"
wood roasted freekeh,"sunchoke, saffron labneh, green olive, orange",Vegetarian,26,"wood roasted freekeh : sunchoke, saffron labneh, green olive, orange"
char grilled rainbow carrots,"seed & nut butter, fermented sambal, finger lime, thai basil",Vegetarian,27,"char grilled rainbow carrots : seed & nut butter, fermented sambal, finger lime, thai basil"
whole roasted cauliflower,"turmeric tahini, za’atar, pomegranate, date molasses, red zhug, fresh herbs, pistachio",Vegetarian,34,"whole roasted cauliflower : turmeric tahini, za’atar, pomegranate, date molasses, red zhug, fresh herbs, pistachio"
market beets,"avocado purée, flavors of tartare",Vegetarian,24,"market beets : avocado purée, flavors of tartare"
avocado lettuce cups,"toasted cumin, serrano and lime, pepitas",Vegetarian,22,"avocado lettuce cups : toasted cumin, serrano and lime, pepitas"
crisp cabbage,"asian pear, roasted kabocha squash, hazelnut furikake, miso dressing",Vegetarian,21,"crisp cabbage : asian pear, roasted kabocha squash, hazelnut furikake, miso dressing"
dosa,"yogurt, avocado, sprouts",Vegetarian,24,"dosa : yogurt, avocado, sprouts"
crunchy market greens & radish,"cashew peppercorn ranch, rye crouton, horseradish",Vegetarian,23,"crunchy market greens & radish : cashew peppercorn ranch, rye crouton, horseradish"
matsutake mushrooms in fragrant yuzu broth,"yuba budding chive purses, simmered fall greens and roots",Vegetarian,33,"matsutake mushrooms in fragrant yuzu broth : yuba budding chive purses, simmered fall greens and roots"
bergamot scented spaghetti,"rainbow chard, pine nut crumb, smoked chili, mint, gran kinara cheese",Vegetarian,27,"bergamot scented spaghetti : rainbow chard, pine nut crumb, smoked chili, mint, gran kinara cheese"
mushroom walnut bolognese,"carrot paccheri, celery, mint",Vegetarian,32,"mushroom walnut bolognese : carrot paccheri, celery, mint"
seared tofu,"black maitake mushroom, broccolini, yuzu, ginger, scallion",Vegetarian,35,"seared tofu : black maitake mushroom, broccolini, yuzu, ginger, scallion"
"coconut sticky rice, pandan, key lime, sea salt",no description,Vegetarian,17,"coconut sticky rice, pandan, key lime, sea salt : no description"
GREEK VILLAGE OMELET,"fresh spinach, scallions and feta cheese cooked in a fluffy omelet",Vegetarian,15,"GREEK VILLAGE OMELET : fresh spinach, scallions and feta cheese cooked in a fluffy omelet"
GREEK ISLAND FRITTATA,hearty baked omelet with potatoes and country sausages flavored with orange zest,Vegetarian,,GREEK ISLAND FRITTATA : hearty baked omelet with potatoes and country sausages flavored with orange zest
GREEK GRILLED CHEESE SANDWICH,"pita bread filled with kasseri, tomatoes and pastourma, pan-fried and served with a simple green salad",Not Vegetarian,16,"GREEK GRILLED CHEESE SANDWICH : pita bread filled with kasseri, tomatoes and pastourma, pan-fried and served with a simple green salad"
VEGETARIAN PITA SANDWICH,"pita bread filled with grilled eggplant, zucchini, roasted red peppers and feta",Vegetarian,,"VEGETARIAN PITA SANDWICH : pita bread filled with grilled eggplant, zucchini, roasted red peppers and feta"
AVGOLEMONO ME SAMPANIA,"champagne avgolemono, PYLOS’ smooth as silk classic egg-lemon soup with chicken stock and orzo",Not Vegetarian,,"AVGOLEMONO ME SAMPANIA : champagne avgolemono, PYLOS’ smooth as silk classic egg-lemon soup with chicken stock and orzo"
ELINIKI SALATA,"greek salad with lettuce, fresh tomatoes, cucumbers, onions, stuffed grape leaves, feta and kalamata olives",Vegetarian,,"ELINIKI SALATA : greek salad with lettuce, fresh tomatoes, cucumbers, onions, stuffed grape leaves, feta and kalamata olives"
HORIATIKI,"the classic greek village salad, with fresh tomatoes, onions, cucumbers, capers, kalamata olives, feta and a simple dressing of extra-virgin greek olive oil and red wine vinegar",Vegetarian,,"HORIATIKI : the classic greek village salad, with fresh tomatoes, onions, cucumbers, capers, kalamata olives, feta and a simple dressing of extra-virgin greek olive oil and red wine vinegar"
SPANAKOPITA,"crispy savory greek phyllo pastry filled with fresh spinach, feta and aromatic herbs",Vegetarian,13,"SPANAKOPITA : crispy savory greek phyllo pastry filled with fresh spinach, feta and aromatic herbs"
KOLOKYTHAKIA KAI MELITZANAKIA TYGANITA,"crisp, fried zucchini and eggplant rounds served with tzatziki",Vegetarian,12,"KOLOKYTHAKIA KAI MELITZANAKIA TYGANITA : crisp, fried zucchini and eggplant rounds served with tzatziki"
KALAMARAKIA TYGANITA,crisp fresh fried squid,Not Vegetarian,14,KALAMARAKIA TYGANITA : crisp fresh fried squid
AFRATA KEFTEDAKIA,"PYLOS’ light-as-air meatballs, pan-fried in olive oil",Vegetarian,13,"AFRATA KEFTEDAKIA : PYLOS’ light-as-air meatballs, pan-fried in olive oil"
GARIDES OUZO,large shrimp cooked in a light ouzo and tomato cream sauce,Not Vegetarian,18,GARIDES OUZO : large shrimp cooked in a light ouzo and tomato cream sauce
SAGANAKI TOU MERAKLI,three greek cheeses melted in a clay pot,Vegetarian,13,SAGANAKI TOU MERAKLI : three greek cheeses melted in a clay pot
HTAPOTHI SCHARAS,"classic grilled, marinated octopus with a balsamic reduction sauce and capers",Not Vegetarian,,"HTAPOTHI SCHARAS : classic grilled, marinated octopus with a balsamic reduction sauce and capers"
GREEK YIAYIA’S FRIED POTATOES,wedges of handcut fried potatoes served with grated greek sheep’s milk cheese and oregano,Vegetarian,8,GREEK YIAYIA’S FRIED POTATOES : wedges of handcut fried potatoes served with grated greek sheep’s milk cheese and oregano
SPANAKORIZO,classic spinach-rice lemon pilaf served with crumbled feta,Vegetarian,,SPANAKORIZO : classic spinach-rice lemon pilaf served with crumbled feta
PASTITSIO,PYLOS’ terrine of baked pasta layered with aromatic meat sauce and béchamel,Not Vegetarian,20,PASTITSIO : PYLOS’ terrine of baked pasta layered with aromatic meat sauce and béchamel
MOUSSAKA,"layers of lightly sautéed eggplant, zucchini and potato baked in a clay dish with aromatic ground meat sauce and béchamel",Not Vegetarian,,"MOUSSAKA : layers of lightly sautéed eggplant, zucchini and potato baked in a clay dish with aromatic ground meat sauce and béchamel"
DIPS,"comes with pita; LABNEH za’atar; MUHAMMARA roasted red pepper, walnut; MATBUCHA tomato confit, smoked paprika",Vegetarian,11 (each) / 29 (all three),"DIPS : comes with pita; LABNEH za’atar; MUHAMMARA roasted red pepper, walnut; MATBUCHA tomato confit, smoked paprika"
FENNEL & PEAR,"celery, pecorino, breadcrumbs",Vegetarian,22,"FENNEL & PEAR : celery, pecorino, breadcrumbs"
ENDIVE,"radicchio, apples, pecan, gorgonzola",Vegetarian,24,"ENDIVE : radicchio, apples, pecan, gorgonzola"
SCALLOP CRUDO,"brown butter, gooseberries, meyer lemon",Vegetarian,26,"SCALLOP CRUDO : brown butter, gooseberries, meyer lemon"
MUSHROOM BUREKA,black truffle butter (add bureka +6),Not Vegetarian,24,MUSHROOM BUREKA : black truffle butter (add bureka +6)
PARSNIP RISOTTO,"parmesan, fried sage",Vegetarian,28,"PARSNIP RISOTTO : parmesan, fried sage"
LAMB KEBAB,"malawach, sumac onion, zhoug, tahini (add skewer +15)",Not Vegetarian,33,"LAMB KEBAB : malawach, sumac onion, zhoug, tahini (add skewer +15)"
HARISSA CHICKEN,"tzatziki, castelvetrano olives, pine nuts",Not Vegetarian,36,"HARISSA CHICKEN : tzatziki, castelvetrano olives, pine nuts"
DUCK CONFIT HARRIRA,"spaghetti squash, chickpeas, cilantro",Not Vegetarian,32,"DUCK CONFIT HARRIRA : spaghetti squash, chickpeas, cilantro"
WHOLE BRANZINO,"braised leeks, seaweed butter",Not Vegetarian,46,"WHOLE BRANZINO : braised leeks, seaweed butter"
misticanza,"castelfranco, rossa del veneto, escarole, capers, focaccia croutons, pecorino",Vegetarian,22,"misticanza : castelfranco, rossa del veneto, escarole, capers, focaccia croutons, pecorino"
roasted honeynut squash,"taleggio, hazelnuts, brown butter, cantucci, spigarello",Vegetarian,23,"roasted honeynut squash : taleggio, hazelnuts, brown butter, cantucci, spigarello"
suppli,"white truffle, bufala mozzarella, porcini",Vegetarian,26,"suppli : white truffle, bufala mozzarella, porcini"
midollo,"roasted bone marrow, beef tartare, celery root",Not Vegetarian,25,"midollo : roasted bone marrow, beef tartare, celery root"
cappelletti,"roasted chestnut, parmigiano, radicchio, brown butter",Vegetarian,35,"cappelletti : roasted chestnut, parmigiano, radicchio, brown butter"
busiate,"roasted garlic, parsley, pepperoncino, lemon",Vegetarian,28,"busiate : roasted garlic, parsley, pepperoncino, lemon"
agnolotti,"short rib, duck jus, chive",Not Vegetarian,38,"agnolotti : short rib, duck jus, chive"
lasagna,"rabbit & veal ragu, chervil, almonds, bufala mozzarella",Not Vegetarian,28,"lasagna : rabbit & veal ragu, chervil, almonds, bufala mozzarella"
Roman Classics,"cacio e pepe, alla gricia, alla carbonara, all'amatriciana",Not Vegetarian,,"Roman Classics : cacio e pepe, alla gricia, alla carbonara, all'amatriciana"
lamb porterhouse,"creamy polenta, tardivo salad, mirto",Not Vegetarian,46,"lamb porterhouse : creamy polenta, tardivo salad, mirto"
rainbow trout,"summer potatoes, lemon curd, Calabrian chili",Not Vegetarian,48,"rainbow trout : summer potatoes, lemon curd, Calabrian chili"
maritozzo,"sweet yeasted brioche, Chantilly creme, citrus",Vegetarian,12,"maritozzo : sweet yeasted brioche, Chantilly creme, citrus"
gelati & sorbetti,one scoop (flavors change daily),Vegetarian,6,gelati & sorbetti : one scoop (flavors change daily)
Broccolini,garlic & almonds,Vegetarian,14,Broccolini : garlic & almonds
Roast kohlrabi,sugar snap peas & yogurt,Vegetarian,16,Roast kohlrabi : sugar snap peas & yogurt
Crispy yams,persian lime aioli,Vegetarian,16,Crispy yams : persian lime aioli
Beets,"pistachio, feta cheese",Vegetarian,17,"Beets : pistachio, feta cheese"
Market Salad,"fennel, radish & chickpea",Vegetarian,17,"Market Salad : fennel, radish & chickpea"
Heirloom cauliflower,herb tahini & pomegranate,Vegetarian,29,Heirloom cauliflower : herb tahini & pomegranate
Crispy quail,"tahini yogurt, pickled egg",Not Vegetarian,37,"Crispy quail : tahini yogurt, pickled egg"
Seared tuna,"sheep yogurt, tomato & chili",Not Vegetarian,37,"Seared tuna : sheep yogurt, tomato & chili"
Dorade,grilled & butterflied,Not Vegetarian,42,Dorade : grilled & butterflied
Half chicken,breadcrumbs,Not Vegetarian,34,Half chicken : breadcrumbs
Smoked lamb shawarma,labne & herbs,Not Vegetarian,38,Smoked lamb shawarma : labne & herbs
TORO SSAM BAP,"Fatty Tuna, Scrambled Egg, Tobiko, Shallots, Jalapeño, Toasted Seaweed, Golden Osetra Caviar",Not Vegetarian,55,"TORO SSAM BAP : Fatty Tuna, Scrambled Egg, Tobiko, Shallots, Jalapeño, Toasted Seaweed, Golden Osetra Caviar"
TRUFFLE SCALLOP,"Scallop Hwe, Truffle Soy, Pickled Radish, Truffle Aioli, Shimeji Mushrooms, Burgundy Truffle",Not Vegetarian,39,"TRUFFLE SCALLOP : Scallop Hwe, Truffle Soy, Pickled Radish, Truffle Aioli, Shimeji Mushrooms, Burgundy Truffle"
CEVICHE,"Assorted Fish, White Radish Dressing, Avocado, Lime, Red Onion, Jalapeño",Not Vegetarian,23,"CEVICHE : Assorted Fish, White Radish Dressing, Avocado, Lime, Red Onion, Jalapeño"
AMBERJACK & ONION,"Amberjack Hwe, Cucumber, Radish, Serrano, Pearl Onion, Soy Bean Dressing",Not Vegetarian,27,"AMBERJACK & ONION : Amberjack Hwe, Cucumber, Radish, Serrano, Pearl Onion, Soy Bean Dressing"
FLUKE HWE,"Wild Fluke, Red Onion, Cucumber, Myoga, Olive Oil “Dongchimi” Emulsion, Plum Cho Gochujang",Not Vegetarian,25,"FLUKE HWE : Wild Fluke, Red Onion, Cucumber, Myoga, Olive Oil “Dongchimi” Emulsion, Plum Cho Gochujang"
CLAM & SEABREAM,"Manilla Clams, Sea Bream, Serrano Pepper, Olive Oil, Dill",Not Vegetarian,26,"CLAM & SEABREAM : Manilla Clams, Sea Bream, Serrano Pepper, Olive Oil, Dill"
JEJU FRIED CHIKIN,"2pc Chicken, Onion Powder, Yogurt Dip, Caviar",Not Vegetarian,31,"JEJU FRIED CHIKIN : 2pc Chicken, Onion Powder, Yogurt Dip, Caviar"
JA JANG STYLE RIBS,"Half Rack St. Louis Style Pork Ribs, Maple - Black Bean Glaze, Banchan",Not Vegetarian,33,"JA JANG STYLE RIBS : Half Rack St. Louis Style Pork Ribs, Maple - Black Bean Glaze, Banchan"
GOCHUJANG BOKUM,"Beef Ragu, Iceberg Lettuce, Pickled Mustard, Palae Seaweed, Potato Crisps",Not Vegetarian,13,"GOCHUJANG BOKUM : Beef Ragu, Iceberg Lettuce, Pickled Mustard, Palae Seaweed, Potato Crisps"
WAGYU RAMYUN,"A Rich Veal Bone Broth, Raw Miyazaki A5 Wagyu Brisket, Kikurage, Enoki, Scallion Oil, Sesame, Chili Beef Ragu",Not Vegetarian,45,"WAGYU RAMYUN : A Rich Veal Bone Broth, Raw Miyazaki A5 Wagyu Brisket, Kikurage, Enoki, Scallion Oil, Sesame, Chili Beef Ragu"
GOCHU RAMYUN,"A Rich Spicy Pork Bone Broth, Pork Belly, White Kimchi, Sauce “Ko”mericaine, Charred Scallion Oil",Not Vegetarian,23,"GOCHU RAMYUN : A Rich Spicy Pork Bone Broth, Pork Belly, White Kimchi, Sauce “Ko”mericaine, Charred Scallion Oil"
FAMILY RAMYUN,"A Rich Pork Bone Broth, Scallion, Porchetta, Shrimp, Pickled Jalapeño, Wood Ear Mushroom, Calabrian Chili",Not Vegetarian,23,"FAMILY RAMYUN : A Rich Pork Bone Broth, Scallion, Porchetta, Shrimp, Pickled Jalapeño, Wood Ear Mushroom, Calabrian Chili"
MUSHROOM RAMYUN,"Seasonal Mushrooms, Parmesan Foam, Lime, Chervil, Garlic Chips, Pickled Garlic",Vegetarian,27,"MUSHROOM RAMYUN : Seasonal Mushrooms, Parmesan Foam, Lime, Chervil, Garlic Chips, Pickled Garlic"
LOBSTER MYUN,"Lobster, “Sauce Américaine”, Calabrian Chili, Soy Milk, Lobster Emulsion",Not Vegetarian,36,"LOBSTER MYUN : Lobster, “Sauce Américaine”, Calabrian Chili, Soy Milk, Lobster Emulsion"
LAMB JA JANG MYUN,"Elysian Field Lamb Ragu, Black Bean Sauce, Szechuan, Pickled Onion, Herbs, Cucumber",Not Vegetarian,27,"LAMB JA JANG MYUN : Elysian Field Lamb Ragu, Black Bean Sauce, Szechuan, Pickled Onion, Herbs, Cucumber"
DONKATSU,"Berkshire Pork, Tomato Mustard Reduction, Seared Maitake, Cole Slaw",Not Vegetarian,38,"DONKATSU : Berkshire Pork, Tomato Mustard Reduction, Seared Maitake, Cole Slaw"
GRILLED OCEAN TROUT,"Spicy Cod Roe “Gribiche”, Trout Roe, Jalapeño",Not Vegetarian,34,"GRILLED OCEAN TROUT : Spicy Cod Roe “Gribiche”, Trout Roe, Jalapeño"
AMERICAN WAGYU RIBEYE,"Chimichurri, Romesco, Ssam, Pickles",Not Vegetarian,6/oz,"AMERICAN WAGYU RIBEYE : Chimichurri, Romesco, Ssam, Pickles"
